0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:55:59 +0800] "GET /cgb1808/Left.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:55:59 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:56:01 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:56:02 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:13 +0800] "GET /cgb1808/index.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:13 +0800] "GET /cgb1808/Left.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:13 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:13 +0800] "GET /cgb1808/Top.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:14 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:16 +0800] "GET /cgb1808/index.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:16 +0800] "GET /cgb1808/Top.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:16 +0800] "GET /cgb1808/Left.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:16 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:57 +0800] "GET /cgb1808/stu_add.jsp HTTP/1.1" 200 2189
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:57 +0800] "GET /js/jquery-1.4.2.js HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:58 +0800] "GET /cgb1808/stu_add.jsp HTTP/1.1" 200 2189
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:58 +0800] "GET /js/jquery-1.4.2.js HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:58:01 +0800] "GET /cgb1808/index.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:58:01 +0800] "GET /cgb1808/Top.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:58:01 +0800] "GET /cgb1808/Left.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:58:01 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:58:06 +0800] "GET /cgb1808/stu_add.jsp HTTP/1.1" 200 2189
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:58:06 +0800] "GET /js/jquery-1.4.2.js HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:58:08 +0800] "GET /cgb1808/index.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:58:08 +0800] "GET /cgb1808/Top.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:58:08 +0800] "GET /cgb1808/Left.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:58:08 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:35:21 +0800] "GET /cgb1808/index.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:35:21 +0800] "GET /cgb1808/Top.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:35:21 +0800] "GET /cgb1808/Left.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:35:21 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:35:57 +0800] "GET /cgb1808/index.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:35:57 +0800] "GET /cgb1808/Left.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:35:57 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:35:57 +0800] "GET /cgb1808/Top.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:35:58 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:36:00 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:36:29 +0800] "GET /cgb1808/index.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:36:29 +0800] "GET /cgb1808/Left.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:36:29 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:36:29 +0800] "GET /cgb1808/Top.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:36:30 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:36:32 +0800] "GET /cgb1808/index.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:36:32 +0800] "GET /cgb1808/Top.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:36:32 +0800] "GET /cgb1808/Left.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:36:32 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:36:40 +0800] "GET /cgb1808/index.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:36:41 +0800] "GET /cgb1808/Top.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:36:41 +0800] "GET /cgb1808/Left.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:36:41 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:37:01 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:37:03 +0800] "GET /cgb1808/stu_add.jsp HTTP/1.1" 200 2189
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:37:03 +0800] "GET /js/jquery-1.4.2.js HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:37:22 +0800] "POST /cgb1808/StudentAddServlet HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:37:25 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 6291
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:37:30 +0800] "GET /cgb1808/StudentInfoServlet?id=1 HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:37:33 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:37:36 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 6291
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:37:50 +0800] "GET /cgb1808/StudentDeleteServlet?id=7 HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [26/Oct/2018:17:37:53 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 5332
