127.0.0.1 - - [18/Oct/2018:09:48:25 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Oct/2018:10:27:20 +0800] "GET /day14/prodlist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2018:10:27:20 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Oct/2018:10:27:37 +0800] "GET /day15/index.html HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [18/Oct/2018:10:28:11 +0800] "GET /day15/index.jsp HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [18/Oct/2018:10:46:59 +0800] "GET /day15/index.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [18/Oct/2018:10:50:51 +0800] "GET /day15/index.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [18/Oct/2018:10:50:54 +0800] "GET /day15/index.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [18/Oct/2018:10:54:57 +0800] "GET /day15/index.jsp HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [18/Oct/2018:10:56:25 +0800] "GET /day15/index.jsp HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [18/Oct/2018:10:59:23 +0800] "GET /day15/index.jsp HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [18/Oct/2018:11:38:10 +0800] "GET /day15/include/header.jsp HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [18/Oct/2018:11:38:24 +0800] "GET /day15/include/_header.jsp HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [18/Oct/2018:11:38:42 +0800] "GET /day15/include/_footer.jsp HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [18/Oct/2018:11:38:57 +0800] "GET /day15/include/_car.jsp HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [18/Oct/2018:11:39:07 +0800] "GET /day15/include/car.jsp HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [18/Oct/2018:14:25:00 +0800] "GET /day15/index.jsp HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [18/Oct/2018:14:26:08 +0800] "GET /day15/index.jsp HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [18/Oct/2018:14:26:29 +0800] "GET /day15/index.jsp HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [18/Oct/2018:14:29:08 +0800] "GET /day15/index.jsp HTTP/1.1" 200 1250
